Recipe_name,Cuisine_type,Diet_type,Protein(g),Carbs(g),Fat(g),Extraction_day,Extraction_time,estimated_weigth(g)
"""Chocomole"" Pudding",british,vegan,37.32,445.2,117.05,2022-10-16,20:10:03,599.57
"""Chorizo"" Tacos From 'The VB6 Cookbook'",asian,vegan,92.83,143.99,76.85,2022-10-16,20:09:36,313.67
"""Fruit Cocktail"" Crisp",american,dash,10.34,166.68,26.0,2022-10-16,20:30:56,203.02
"""Refried"" Black Beans and Walnut Meat Tacos (Vegan)",american,vegan,133.18,332.91,127.84,2022-10-16,20:08:06,593.93
"#SPINACH #LASAGNA my #Caribbean favourite, #Delicious #Nutritious #Vegetarian",italian,vegan,165.9,333.74,548.55,2022-10-16,20:10:17,1048.19
'Akara' aka bean or lentil fritters,mediterranean,vegan,48.67,130.15,44.12,2022-10-16,20:11:25,222.94
'Bella Asada Fajitas,mexican,dash,12.39,85.11,14.77,2022-10-16,20:39:09,112.27
'Clean Start': Chewy Chocolate Macaroons Recipe,french,vegan,23.58,248.33,174.13,2022-10-16,20:11:52,446.04
"'Clean Start': Polenta Pizzas with Kale, Chard, and Parsley Pesto Recipe",italian,vegan,64.97,448.84,180.1,2022-10-16,20:12:46,693.91
'Croodité' Paleo Basil Dip,american,paleo,6.35,7.27,127.41,2022-10-16,17:30:48,141.03
'Dragon prawn' noodles,asian,dash,165.01,267.89,49.48,2022-10-16,20:38:20,482.38
'PALEO' Pizza Base,italian,paleo,28.69,131.07,105.15,2022-10-16,17:27:05,264.91
"'The Food Matters Cookbook': Spicy Fried Rice with Bean Sprouts, Chicken, and Peanuts Recipe",south east asian,vegan,111.5,337.99,105.43,2022-10-16,20:12:26,554.92
(Absolutely not a Falafel) Vegan Lentil Falafel,american,vegan,46.33,133.73,2.36,2022-10-16,20:07:12,182.42
(Nut-Free) Basil Pesto recipes,italian,paleo,30.12,22.06,103.28,2022-10-16,17:30:55,155.46
(Salted Caramel!) Pecan Keto Turtle Candy,american,keto,16.65,62.95,111.16,2022-10-16,17:58:30,190.76
10 Minute Keto Country Gravy recipes,british,keto,22.82,10.92,139.25,2022-10-16,18:04:12,172.99
10 Paleo Lunch Ideas,italian,paleo,17.11,89.38,32.11,2022-10-16,17:30:21,138.6
10-Minute Egg Drop Soup,chinese,dash,43.17,69.38,42.96,2022-10-16,20:32:31,155.51
100 Calorie Paleo Crepes,french,paleo,15.86,103.19,13.94,2022-10-16,17:29:27,132.99
100-Mile Dash,american,dash,1.9,236.76,1.02,2022-10-16,20:29:20,239.68
"100-Year-Old Cigar (Rum, Scotch, and Cynar Cocktail) Recipe",world,dash,0.03,9.13,0.09,2022-10-16,20:33:31,9.25
"101 ""Whaler"" Fish Sandwich",american,dash,166.86,291.0,206.96,2022-10-16,20:37:33,664.82
12th Man Hot Wings,american,dash,807.03,49.17,649.49,2022-10-16,20:36:46,1505.69
15 Minute Cauliflower Fried Rice recipes,chinese,vegan,40.74,57.84,43.11,2022-10-16,20:05:38,141.69
15 Minute No Bake Energy Bites,american,vegan,25.38,166.43,34.64,2022-10-16,20:09:09,226.45
15-Minute Creamy Tomato Soup (Vegan) Recipe,american,vegan,27.5,129.28,116.19,2022-10-16,20:07:05,272.97
151 Swizzle,world,dash,0.14,31.75,0.03,2022-10-16,20:29:53,31.92
2 GINGERS Hot Toddy,world,dash,0.13,32.69,0.15,2022-10-16,20:31:51,32.97
2 Ingredient Keto Pasta,italian,keto,58.83,7.03,68.54,2022-10-16,18:00:30,134.4
20 Minute Apple Turnovers,french,vegan,10.46,194.67,32.94,2022-10-16,20:08:47,238.07
"20 Minute Cashew Chicken Recipe {Paleo, Gluten-Free, Clean Eating, Dairy-Free} recipes",italian,paleo,165.49,354.68,259.89,2022-10-16,17:23:26,780.06
20-Minute Paleo Cashew Chicken,american,paleo,189.22,139.79,190.27,2022-10-16,17:22:38,519.28
3 Delicious Ways To Roast Your Cauliflower recipes,american,dash,2.85,15.5,1.13,2022-10-16,20:29:27,19.48
"3 Ingredient Chocolate Walnut Fudge (Paleo, Vegan, Gluten Free, Dairy-Free)",american,paleo,48.8,126.11,160.21,2022-10-16,17:22:12,335.12
3 Ingredient Keto Chocolate Mug Cake,british,keto,8.17,7.26,6.05,2022-10-16,18:04:46,21.48
3 Ingredient Keto Japanese Cheesecake,japanese,keto,48.34,145.03,150.77,2022-10-16,18:02:38,344.14
3 Ingredient Keto Peanut Butter Mug Cake,british,keto,15.19,10.34,25.3,2022-10-16,18:06:20,50.83
3-Bean Chili,american,dash,114.28,422.73,65.73,2022-10-16,20:39:57,602.74
3-Ingredient Crunchy Strawberry Ice-Cream recipes,american,paleo,17.65,293.51,94.4,2022-10-16,17:24:13,405.56
3-Ingredient Walnut Flourless Cake,american,dash,72.47,293.63,202.57,2022-10-16,20:32:18,568.67
3-Minute Mediterranean Vegetable Lasagne recipes,italian,mediterranean,107.91,287.32,75.99,2022-10-16,16:48:24,471.22
"30 Minute Beef Stroganoff Recipe (Paleo, Gluten Free, Dairy Free) recipes",eastern europe,paleo,110.57,36.4,308.95,2022-10-16,17:23:19,455.92
"4 Creative, Crustless Pizza Recipes recipes",italian,paleo,188.18,157.29,267.62,2022-10-16,17:23:53,613.09
"4 Ingredient Chocolate Peanut Butter Homemade Frosty Recipe (Vegan, Dairy-Free, Gluten-Free, Refined Sugar-Free)",american,paleo,25.63,137.31,38.5,2022-10-16,17:23:19,201.44
4 Ingredient Mushroom Soup Recipe – Dairy Free + Low Carb + Keto Diet recipes,american,keto,16.16,21.95,93.82,2022-10-16,18:08:51,131.93
